superkingdom	phylum	class	order	sample1	sample2	sample3	sample4	sample5
Bacteria	Ignavibacteriae	Ignavibacteriales	Ignavibacteria	39.0	69.0	125.0	185.0	177.0
Bacteria	Ignavibacteriae	NA	Ignavibacteria	553.0	748.0	770.0	1177.0	1469.0
Bacteria	Kiritimatiellaeota	Kiritimatiellales	Kiritimatiellae	22.0	25.0	28.0	41.0	24.0
Bacteria	Lentisphaerae	Lentisphaerales	Lentisphaeria	9.0	10.0	7.0	13.0	11.0
Bacteria	Lentisphaerae	NA	NA	335.0	496.0	486.0	631.0	1163.0
Bacteria	NA	Haloplasmatales	NA	1.0	2.0	0	8.0	5.0
Bacteria	NA	NA	NA	12735.0	13557.0	19021.0	42318.0	34449.0
Bacteria	Nitrospinae	NA	NA	58.0	49.0	85.0	75.0	57.0
Bacteria	Nitrospinae	Nitrospinales	Nitrospinia	29.0	33.0	30.0	31.0	17.0
Bacteria	Nitrospirae	NA	NA	1408.0	1415.0	1696.0	2815.0	448.0
Bacteria	Nitrospirae	NA	Nitrospira	41.0	50.0	74.0	105.0	165.0
Bacteria	Nitrospirae	Nitrospirales	Nitrospira	1612.0	1956.0	2298.0	3903.0	202.0
Bacteria	Planctomycetes	Candidatus Brocadiales	Planctomycetia	96.0	159.0	174.0	185.0	152.0
Bacteria	Planctomycetes	NA	NA	663.0	797.0	756.0	1080.0	1219.0
Bacteria	Planctomycetes	NA	Phycisphaerae	160.0	154.0	207.0	243.0	601.0
Bacteria	Planctomycetes	NA	Planctomycetia	1.0	0	0	0	0
Bacteria	Planctomycetes	Phycisphaerales	Phycisphaerae	60.0	49.0	75.0	71.0	70.0
Bacteria	Planctomycetes	Planctomycetales	Planctomycetia	2481.0	2397.0	3624.0	3907.0	706.0
Bacteria	Proteobacteria	Acidiferrobacterales	Gammaproteobacteria	78.0	88.0	118.0	87.0	27.0
Bacteria	Proteobacteria	Acidithiobacillales	Acidithiobacillia	74.0	123.0	130.0	145.0	34.0
Bacteria	Proteobacteria	Aeromonadales	Gammaproteobacteria	35.0	49.0	91.0	59.0	67.0
Bacteria	Proteobacteria	Alteromonadales	Gammaproteobacteria	382.0	352.0	600.0	555.0	443.0
Bacteria	Proteobacteria	Bdellovibrionales	Deltaproteobacteria	261.0	432.0	646.0	1201.0	146.0
Bacteria	Proteobacteria	Burkholderiales	Betaproteobacteria	9168.0	24772.0	22143.0	10175.0	68789.0
Bacteria	Proteobacteria	Campylobacterales	Epsilonproteobacteria	94.0	110.0	170.0	215.0	182.0
Bacteria	Proteobacteria	Cardiobacteriales	Gammaproteobacteria	5.0	10.0	20.0	9.0	3.0
Bacteria	Proteobacteria	Caulobacterales	Alphaproteobacteria	411.0	236.0	632.0	358.0	116.0
Bacteria	Proteobacteria	Cellvibrionales	Gammaproteobacteria	139.0	177.0	251.0	303.0	670.0
